04-01-2020 11:53:01.408 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
04-01-2020 11:53:01.408 [main] INFO  o.s.web.context.ContextLoader.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 1035 ms
04-01-2020 11:53:01.615 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:53:01.625 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:53:01.694 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:53:01.697 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:53:01.704 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:53:01.709 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:53:01.749 [main] INFO  o.s.w.s.saaj.SaajSoapMessageFactory.afterPropertiesSet - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
04-01-2020 11:53:01.834 [main] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@31133b6e, org.springframework.security.web.context.SecurityContextPersistenceFilter@6eb82908, org.springframework.security.web.header.HeaderWriterFilter@24361cfc, org.springframework.security.web.authentication.logout.LogoutFilter@3900fa71, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7ae9a33a, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3d98d138, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@38eb2c50, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@29528a22, org.springframework.security.web.session.SessionManagementFilter@15ac59c2, org.springframework.security.web.access.ExceptionTranslationFilter@7a5b769b, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2aeefcc]
04-01-2020 11:53:01.929 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor.initialize - Initializing ExecutorService 'applicationTaskExecutor'
04-01-2020 11:53:02.261 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 8080 (http) with context path ''
04-01-2020 11:53:02.263 [main] INFO  o.b.BibliothequeApplication.logStarted - Started BibliothequeApplication in 2.453 seconds (JVM running for 3.087)
04-01-2020 11:53:07.311 [main] INFO  org.bibliotheque.LauncherBatch.logStarting - Starting LauncherBatch on DESKTOP-6UCL7NI with PID 1632 (started by CELIM in F:\Depot GitHub\SI-GESTION-DES-BIBLIOTHEQUES-V2.0\oc-bibliotheque-webapplication)
04-01-2020 11:53:07.317 [main] INFO  org.bibliotheque.LauncherBatch.logStartupProfileInfo - The following profiles are active: dev
